,0,1
170510,CN1705100000000,"Fayette County, IL "
170530,CN1705300000000,"Ford County, IL "
170550,CN1705500000000,"Franklin County, IL "
170570,CN1705700000000,"Fulton County, IL "
170590,CN1705900000000,"Gallatin County, IL "
170610,CN1706100000000,"Greene County, IL "
170630,CN1706300000000,"Grundy County, IL "
170650,CN1706500000000,"Hamilton County, IL "
170670,CN1706700000000,"Hancock County, IL "
170690,CN1706900000000,"Hardin County, IL "
170710,CN1707100000000,"Henderson County, IL "
170730,CN1707300000000,"Henry County, IL "
170750,CN1707500000000,"Iroquois County, IL "
170770,CN1707700000000,"Jackson County, IL "
170790,CN1707900000000,"Jasper County, IL "
170810,CN1708100000000,"Jefferson County, IL "
170830,CN1708300000000,"Jersey County, IL "
170850,CN1708500000000,"Jo Daviess County, IL "
170870,CN1708700000000,"Johnson County, IL "
170890,CN1708900000000,"Kane County, IL "
170910,CN1709100000000,"Kankakee County, IL "
170930,CN1709300000000,"Kendall County, IL "
170950,CN1709500000000,"Knox County, IL "
170970,CN1709700000000,"Lake County, IL "
170990,CN1709900000000,"LaSalle County, IL "
171010,CN1710100000000,"Lawrence County, IL "
171030,CN1710300000000,"Lee County, IL "
171050,CN1710500000000,"Livingston County, IL "
171070,CN1710700000000,"Logan County, IL "
171090,CN1710900000000,"McDonough County, IL "
171110,CN1711100000000,"McHenry County, IL "
171130,CN1711300000000,"McLean County, IL "
171150,CN1711500000000,"Macon County, IL "
171170,CN1711700000000,"Macoupin County, IL "
171190,CN1711900000000,"Madison County, IL "
171210,CN1712100000000,"Marion County, IL "
171230,CN1712300000000,"Marshall County, IL "
171250,CN1712500000000,"Mason County, IL "
171270,CN1712700000000,"Massac County, IL "
171290,CN1712900000000,"Menard County, IL "
171310,CN1713100000000,"Mercer County, IL "
171330,CN1713300000000,"Monroe County, IL "
171350,CN1713500000000,"Montgomery County, IL "
171370,CN1713700000000,"Morgan County, IL "
171390,CN1713900000000,"Moultrie County, IL "
171410,CN1714100000000,"Ogle County, IL "
171430,CN1714300000000,"Peoria County, IL "
171450,CN1714500000000,"Perry County, IL "
171470,CN1714700000000,"Piatt County, IL "
171490,CN1714900000000,"Pike County, IL "
171510,CN1715100000000,"Pope County, IL "
171530,CN1715300000000,"Pulaski County, IL "
171550,CN1715500000000,"Putnam County, IL "
171570,CN1715700000000,"Randolph County, IL "
171590,CN1715900000000,"Richland County, IL "
171610,CN1716100000000,"Rock Island County, IL "
171630,CN1716300000000,"St. Clair County, IL "
171650,CN1716500000000,"Saline County, IL "
171670,CN1716700000000,"Sangamon County, IL "
171690,CN1716900000000,"Schuyler County, IL "
171710,CN1717100000000,"Scott County, IL "
171730,CN1717300000000,"Shelby County, IL "
171750,CN1717500000000,"Stark County, IL "
171770,CN1717700000000,"Stephenson County, IL "
171790,CN1717900000000,"Tazewell County, IL "
171810,CN1718100000000,"Union County, IL "
171830,CN1718300000000,"Vermilion County, IL "
171850,CN1718500000000,"Wabash County, IL "
171870,CN1718700000000,"Warren County, IL "
171890,CN1718900000000,"Washington County, IL "
171910,CN1719100000000,"Wayne County, IL "
171930,CN1719300000000,"White County, IL "
171950,CN1719500000000,"Whiteside County, IL "
171970,CN1719700000000,"Will County, IL "
171990,CN1719900000000,"Williamson County, IL "
172010,CN1720100000000,"Winnebago County, IL "
172030,CN1720300000000,"Woodford County, IL "
180010,CN1800100000000,"Adams County, IN "
180030,CN1800300000000,"Allen County, IN "
180050,CN1800500000000,"Bartholomew County, IN "
180070,CN1800700000000,"Benton County, IN "
180090,CN1800900000000,"Blackford County, IN "
180110,CN1801100000000,"Boone County, IN "
180130,CN1801300000000,"Brown County, IN "
180150,CN1801500000000,"Carroll County, IN "
180170,CN1801700000000,"Cass County, IN "
180190,CN1801900000000,"Clark County, IN "
180210,CN1802100000000,"Clay County, IN "
180230,CN1802300000000,"Clinton County, IN "
180250,CN1802500000000,"Crawford County, IN "
180270,CN1802700000000,"Daviess County, IN "
180290,CN1802900000000,"Dearborn County, IN "
180310,CN1803100000000,"Decatur County, IN "
180330,CN1803300000000,"DeKalb County, IN "
180350,CN1803500000000,"Delaware County, IN "
180370,CN1803700000000,"Dubois County, IN "
180390,CN1803900000000,"Elkhart County, IN "
180410,CN1804100000000,"Fayette County, IN "
180430,CN1804300000000,"Floyd County, IN "
180450,CN1804500000000,"Fountain County, IN "
180470,CN1804700000000,"Franklin County, IN "
180490,CN1804900000000,"Fulton County, IN "
180510,CN1805100000000,"Gibson County, IN "
180530,CN1805300000000,"Grant County, IN "
180550,CN1805500000000,"Greene County, IN "
180570,CN1805700000000,"Hamilton County, IN "
180590,CN1805900000000,"Hancock County, IN "
180610,CN1806100000000,"Harrison County, IN "
180630,CN1806300000000,"Hendricks County, IN "
180650,CN1806500000000,"Henry County, IN "
180670,CN1806700000000,"Howard County, IN "
180690,CN1806900000000,"Huntington County, IN "
180710,CN1807100000000,"Jackson County, IN "
180730,CN1807300000000,"Jasper County, IN "
180750,CN1807500000000,"Jay County, IN "
180770,CN1807700000000,"Jefferson County, IN "
180790,CN1807900000000,"Jennings County, IN "
180810,CN1808100000000,"Johnson County, IN "
180830,CN1808300000000,"Knox County, IN "
180850,CN1808500000000,"Kosciusko County, IN "
180870,CN1808700000000,"LaGrange County, IN "
180890,CN1808900000000,"Lake County, IN "
180910,CN1809100000000,"LaPorte County, IN "
180930,CN1809300000000,"Lawrence County, IN "
180950,CN1809500000000,"Madison County, IN "
180970,CN1809700000000,"Marion County, IN "
180990,CN1809900000000,"Marshall County, IN "
181010,CN1810100000000,"Martin County, IN "
181030,CN1810300000000,"Miami County, IN "
181050,CN1810500000000,"Monroe County, IN "
181070,CN1810700000000,"Montgomery County, IN "
181090,CN1810900000000,"Morgan County, IN "
181110,CN1811100000000,"Newton County, IN "
181130,CN1811300000000,"Noble County, IN "
181150,CN1811500000000,"Ohio County, IN "
181170,CN1811700000000,"Orange County, IN "
181190,CN1811900000000,"Owen County, IN "
181210,CN1812100000000,"Parke County, IN "
181230,CN1812300000000,"Perry County, IN "
181250,CN1812500000000,"Pike County, IN "
181270,CN1812700000000,"Porter County, IN "
181290,CN1812900000000,"Posey County, IN "
181310,CN1813100000000,"Pulaski County, IN "
181330,CN1813300000000,"Putnam County, IN "
181350,CN1813500000000,"Randolph County, IN "
181370,CN1813700000000,"Ripley County, IN "
181390,CN1813900000000,"Rush County, IN "
181410,CN1814100000000,"St. Joseph County, IN "
181430,CN1814300000000,"Scott County, IN "
181450,CN1814500000000,"Shelby County, IN "
181470,CN1814700000000,"Spencer County, IN "
181490,CN1814900000000,"Starke County, IN "
181510,CN1815100000000,"Steuben County, IN "
181530,CN1815300000000,"Sullivan County, IN "
181550,CN1815500000000,"Switzerland County, IN "
181570,CN1815700000000,"Tippecanoe County, IN "
181590,CN1815900000000,"Tipton County, IN "
181610,CN1816100000000,"Union County, IN "
181630,CN1816300000000,"Vanderburgh County, IN "
181650,CN1816500000000,"Vermillion County, IN "
181670,CN1816700000000,"Vigo County, IN "
181690,CN1816900000000,"Wabash County, IN "
181710,CN1817100000000,"Warren County, IN "
181730,CN1817300000000,"Warrick County, IN "
181750,CN1817500000000,"Washington County, IN "
181770,CN1817700000000,"Wayne County, IN "
181790,CN1817900000000,"Wells County, IN "
181810,CN1818100000000,"White County, IN "
181830,CN1818300000000,"Whitley County, IN "
190010,CN1900100000000,"Adair County, IA "
190030,CN1900300000000,"Adams County, IA "
190050,CN1900500000000,"Allamakee County, IA "
190070,CN1900700000000,"Appanoose County, IA "
190090,CN1900900000000,"Audubon County, IA "
190110,CN1901100000000,"Benton County, IA "
190130,CN1901300000000,"Black Hawk County, IA "
190150,CN1901500000000,"Boone County, IA "
190170,CN1901700000000,"Bremer County, IA "
190190,CN1901900000000,"Buchanan County, IA "
190210,CN1902100000000,"Buena Vista County, IA "
190230,CN1902300000000,"Butler County, IA "
190250,CN1902500000000,"Calhoun County, IA "
190270,CN1902700000000,"Carroll County, IA "
190290,CN1902900000000,"Cass County, IA "
190310,CN1903100000000,"Cedar County, IA "
190330,CN1903300000000,"Cerro Gordo County, IA "
190350,CN1903500000000,"Cherokee County, IA "
190370,CN1903700000000,"Chickasaw County, IA "
190390,CN1903900000000,"Clarke County, IA "
190410,CN1904100000000,"Clay County, IA "
190430,CN1904300000000,"Clayton County, IA "
190450,CN1904500000000,"Clinton County, IA "
190470,CN1904700000000,"Crawford County, IA "
190490,CN1904900000000,"Dallas County, IA "
190510,CN1905100000000,"Davis County, IA "
190530,CN1905300000000,"Decatur County, IA "
190550,CN1905500000000,"Delaware County, IA "
190570,CN1905700000000,"Des Moines County, IA "
190590,CN1905900000000,"Dickinson County, IA "
190610,CN1906100000000,"Dubuque County, IA "
190630,CN1906300000000,"Emmet County, IA "
190650,CN1906500000000,"Fayette County, IA "
190670,CN1906700000000,"Floyd County, IA "
190690,CN1906900000000,"Franklin County, IA "
190710,CN1907100000000,"Fremont County, IA "
190730,CN1907300000000,"Greene County, IA "
190750,CN1907500000000,"Grundy County, IA "
190770,CN1907700000000,"Guthrie County, IA "
190790,CN1907900000000,"Hamilton County, IA "
190810,CN1908100000000,"Hancock County, IA "
190830,CN1908300000000,"Hardin County, IA "
190850,CN1908500000000,"Harrison County, IA "
190870,CN1908700000000,"Henry County, IA "
190890,CN1908900000000,"Howard County, IA "
190910,CN1909100000000,"Humboldt County, IA "
190930,CN1909300000000,"Ida County, IA "
190950,CN1909500000000,"Iowa County, IA "
190970,CN1909700000000,"Jackson County, IA "
190990,CN1909900000000,"Jasper County, IA "
191010,CN1910100000000,"Jefferson County, IA "
191030,CN1910300000000,"Johnson County, IA "
191050,CN1910500000000,"Jones County, IA "
191070,CN1910700000000,"Keokuk County, IA "
191090,CN1910900000000,"Kossuth County, IA "
191110,CN1911100000000,"Lee County, IA "
191130,CN1911300000000,"Linn County, IA "
191150,CN1911500000000,"Louisa County, IA "
191170,CN1911700000000,"Lucas County, IA "
191190,CN1911900000000,"Lyon County, IA "
191210,CN1912100000000,"Madison County, IA "
191230,CN1912300000000,"Mahaska County, IA "
191250,CN1912500000000,"Marion County, IA "
191270,CN1912700000000,"Marshall County, IA "
191290,CN1912900000000,"Mills County, IA "
191310,CN1913100000000,"Mitchell County, IA "
191330,CN1913300000000,"Monona County, IA "
191350,CN1913500000000,"Monroe County, IA "
191370,CN1913700000000,"Montgomery County, IA "
191390,CN1913900000000,"Muscatine County, IA "
191410,CN1914100000000,"O'Brien County, IA "
191430,CN1914300000000,"Osceola County, IA "
191450,CN1914500000000,"Page County, IA "
191470,CN1914700000000,"Palo Alto County, IA "
191490,CN1914900000000,"Plymouth County, IA "
191510,CN1915100000000,"Pocahontas County, IA "
191530,CN1915300000000,"Polk County, IA "
191550,CN1915500000000,"Pottawattamie County, IA "
191570,CN1915700000000,"Poweshiek County, IA "
191590,CN1915900000000,"Ringgold County, IA "
191610,CN1916100000000,"Sac County, IA "
191630,CN1916300000000,"Scott County, IA "
191650,CN1916500000000,"Shelby County, IA "
191670,CN1916700000000,"Sioux County, IA "
191690,CN1916900000000,"Story County, IA "
191710,CN1917100000000,"Tama County, IA "
191730,CN1917300000000,"Taylor County, IA "
191750,CN1917500000000,"Union County, IA "
191770,CN1917700000000,"Van Buren County, IA "
191790,CN1917900000000,"Wapello County, IA "
191810,CN1918100000000,"Warren County, IA "
191830,CN1918300000000,"Washington County, IA "
191850,CN1918500000000,"Wayne County, IA "
191870,CN1918700000000,"Webster County, IA "
191890,CN1918900000000,"Winnebago County, IA "
191910,CN1919100000000,"Winneshiek County, IA "
191930,CN1919300000000,"Woodbury County, IA "
191950,CN1919500000000,"Worth County, IA "
191970,CN1919700000000,"Wright County, IA "
200010,CN2000100000000,"Allen County, KS "
200030,CN2000300000000,"Anderson County, KS "
200050,CN2000500000000,"Atchison County, KS "
200070,CN2000700000000,"Barber County, KS "
200090,CN2000900000000,"Barton County, KS "
200110,CN2001100000000,"Bourbon County, KS "
200130,CN2001300000000,"Brown County, KS "
200150,CN2001500000000,"Butler County, KS "
200170,CN2001700000000,"Chase County, KS "
200190,CN2001900000000,"Chautauqua County, KS "
200210,CN2002100000000,"Cherokee County, KS "
200230,CN2002300000000,"Cheyenne County, KS "
200250,CN2002500000000,"Clark County, KS "
200270,CN2002700000000,"Clay County, KS "
200290,CN2002900000000,"Cloud County, KS "
200310,CN2003100000000,"Coffey County, KS "
200330,CN2003300000000,"Comanche County, KS "
200350,CN2003500000000,"Cowley County, KS "
200370,CN2003700000000,"Crawford County, KS "
200390,CN2003900000000,"Decatur County, KS "
200410,CN2004100000000,"Dickinson County, KS "
200430,CN2004300000000,"Doniphan County, KS "
200450,CN2004500000000,"Douglas County, KS "
200470,CN2004700000000,"Edwards County, KS "
200490,CN2004900000000,"Elk County, KS "
200510,CN2005100000000,"Ellis County, KS "
200530,CN2005300000000,"Ellsworth County, KS "
200550,CN2005500000000,"Finney County, KS "
200570,CN2005700000000,"Ford County, KS "
200590,CN2005900000000,"Franklin County, KS "
200610,CN2006100000000,"Geary County, KS "
200630,CN2006300000000,"Gove County, KS "
200650,CN2006500000000,"Graham County, KS "
200670,CN2006700000000,"Grant County, KS "
200690,CN2006900000000,"Gray County, KS "
200710,CN2007100000000,"Greeley County, KS "
200730,CN2007300000000,"Greenwood County, KS "
200750,CN2007500000000,"Hamilton County, KS "
200770,CN2007700000000,"Harper County, KS "
200790,CN2007900000000,"Harvey County, KS "
200810,CN2008100000000,"Haskell County, KS "
200830,CN2008300000000,"Hodgeman County, KS "
200850,CN2008500000000,"Jackson County, KS "
200870,CN2008700000000,"Jefferson County, KS "
200890,CN2008900000000,"Jewell County, KS "
200910,CN2009100000000,"Johnson County, KS "
200930,CN2009300000000,"Kearny County, KS "
200950,CN2009500000000,"Kingman County, KS "
200970,CN2009700000000,"Kiowa County, KS "
200990,CN2009900000000,"Labette County, KS "
201010,CN2010100000000,"Lane County, KS "
201030,CN2010300000000,"Leavenworth County, KS "
201050,CN2010500000000,"Lincoln County, KS "
201070,CN2010700000000,"Linn County, KS "
201090,CN2010900000000,"Logan County, KS "
201110,CN2011100000000,"Lyon County, KS "
201130,CN2011300000000,"McPherson County, KS "
201150,CN2011500000000,"Marion County, KS "
201170,CN2011700000000,"Marshall County, KS "
201190,CN2011900000000,"Meade County, KS "
201210,CN2012100000000,"Miami County, KS "
201230,CN2012300000000,"Mitchell County, KS "
201250,CN2012500000000,"Montgomery County, KS "
201270,CN2012700000000,"Morris County, KS "
201290,CN2012900000000,"Morton County, KS "
201310,CN2013100000000,"Nemaha County, KS "
201330,CN2013300000000,"Neosho County, KS "
201350,CN2013500000000,"Ness County, KS "
201370,CN2013700000000,"Norton County, KS "
201390,CN2013900000000,"Osage County, KS "
201410,CN2014100000000,"Osborne County, KS "
201430,CN2014300000000,"Ottawa County, KS "
201450,CN2014500000000,"Pawnee County, KS "
201470,CN2014700000000,"Phillips County, KS "
201490,CN2014900000000,"Pottawatomie County, KS "
201510,CN2015100000000,"Pratt County, KS "
201530,CN2015300000000,"Rawlins County, KS "
201550,CN2015500000000,"Reno County, KS "
201570,CN2015700000000,"Republic County, KS "
201590,CN2015900000000,"Rice County, KS "
201610,CN2016100000000,"Riley County, KS "
201630,CN2016300000000,"Rooks County, KS "
201650,CN2016500000000,"Rush County, KS "
201670,CN2016700000000,"Russell County, KS "
201690,CN2016900000000,"Saline County, KS "
201710,CN2017100000000,"Scott County, KS "
201730,CN2017300000000,"Sedgwick County, KS "
201750,CN2017500000000,"Seward County, KS "
201770,CN2017700000000,"Shawnee County, KS "
201790,CN2017900000000,"Sheridan County, KS "
201810,CN2018100000000,"Sherman County, KS "
201830,CN2018300000000,"Smith County, KS "
201850,CN2018500000000,"Stafford County, KS "
201870,CN2018700000000,"Stanton County, KS "
201890,CN2018900000000,"Stevens County, KS "
201910,CN2019100000000,"Sumner County, KS "
201930,CN2019300000000,"Thomas County, KS "
201950,CN2019500000000,"Trego County, KS "
201970,CN2019700000000,"Wabaunsee County, KS "
201990,CN2019900000000,"Wallace County, KS "
202010,CN2020100000000,"Washington County, KS "
202030,CN2020300000000,"Wichita County, KS "
202050,CN2020500000000,"Wilson County, KS "
202070,CN2020700000000,"Woodson County, KS "
202090,CN2020900000000,"Wyandotte County, KS "
210010,CN2100100000000,"Adair County, KY "
210030,CN2100300000000,"Allen County, KY "
210050,CN2100500000000,"Anderson County, KY "
210070,CN2100700000000,"Ballard County, KY "
210090,CN2100900000000,"Barren County, KY "
210110,CN2101100000000,"Bath County, KY "
210130,CN2101300000000,"Bell County, KY "
210150,CN2101500000000,"Boone County, KY "
210170,CN2101700000000,"Bourbon County, KY "
210190,CN2101900000000,"Boyd County, KY "
210210,CN2102100000000,"Boyle County, KY "
210230,CN2102300000000,"Bracken County, KY "
210250,CN2102500000000,"Breathitt County, KY "
210270,CN2102700000000,"Breckinridge County, KY "
210290,CN2102900000000,"Bullitt County, KY "
210310,CN2103100000000,"Butler County, KY "
210330,CN2103300000000,"Caldwell County, KY "
210350,CN2103500000000,"Calloway County, KY "
210370,CN2103700000000,"Campbell County, KY "
210390,CN2103900000000,"Carlisle County, KY "
210410,CN2104100000000,"Carroll County, KY "
210430,CN2104300000000,"Carter County, KY "
210450,CN2104500000000,"Casey County, KY "
210470,CN2104700000000,"Christian County, KY "
210490,CN2104900000000,"Clark County, KY "
210510,CN2105100000000,"Clay County, KY "
210530,CN2105300000000,"Clinton County, KY "
210550,CN2105500000000,"Crittenden County, KY "
210570,CN2105700000000,"Cumberland County, KY "
210590,CN2105900000000,"Daviess County, KY "
210610,CN2106100000000,"Edmonson County, KY "
210630,CN2106300000000,"Elliott County, KY "
210650,CN2106500000000,"Estill County, KY "
210670,CN2106700000000,"Fayette County, KY "
210690,CN2106900000000,"Fleming County, KY "
210710,CN2107100000000,"Floyd County, KY "
210730,CN2107300000000,"Franklin County, KY "
210750,CN2107500000000,"Fulton County, KY "
210770,CN2107700000000,"Gallatin County, KY "
210790,CN2107900000000,"Garrard County, KY "
210810,CN2108100000000,"Grant County, KY "
210830,CN2108300000000,"Graves County, KY "
210850,CN2108500000000,"Grayson County, KY "
210870,CN2108700000000,"Green County, KY "
210890,CN2108900000000,"Greenup County, KY "
210910,CN2109100000000,"Hancock County, KY "
210930,CN2109300000000,"Hardin County, KY "
210950,CN2109500000000,"Harlan County, KY "
210970,CN2109700000000,"Harrison County, KY "
210990,CN2109900000000,"Hart County, KY "
211010,CN2110100000000,"Henderson County, KY "
211030,CN2110300000000,"Henry County, KY "
211050,CN2110500000000,"Hickman County, KY "
211070,CN2110700000000,"Hopkins County, KY "
211090,CN2110900000000,"Jackson County, KY "
211110,CN2111100000000,"Jefferson County, KY "
211130,CN2111300000000,"Jessamine County, KY "
211150,CN2111500000000,"Johnson County, KY "
211170,CN2111700000000,"Kenton County, KY "
211190,CN2111900000000,"Knott County, KY "
211210,CN2112100000000,"Knox County, KY "
211230,CN2112300000000,"Larue County, KY "
211250,CN2112500000000,"Laurel County, KY "
211270,CN2112700000000,"Lawrence County, KY "
211290,CN2112900000000,"Lee County, KY "
211310,CN2113100000000,"Leslie County, KY "
211330,CN2113300000000,"Letcher County, KY "
211350,CN2113500000000,"Lewis County, KY "
211370,CN2113700000000,"Lincoln County, KY "
211390,CN2113900000000,"Livingston County, KY "
211410,CN2114100000000,"Logan County, KY "
211430,CN2114300000000,"Lyon County, KY "
211450,CN2114500000000,"McCracken County, KY "
211470,CN2114700000000,"McCreary County, KY "
211490,CN2114900000000,"McLean County, KY "
211510,CN2115100000000,"Madison County, KY "
211530,CN2115300000000,"Magoffin County, KY "
211550,CN2115500000000,"Marion County, KY "
211570,CN2115700000000,"Marshall County, KY "
211590,CN2115900000000,"Martin County, KY "
211610,CN2116100000000,"Mason County, KY "
211630,CN2116300000000,"Meade County, KY "
211650,CN2116500000000,"Menifee County, KY "
211670,CN2116700000000,"Mercer County, KY "
211690,CN2116900000000,"Metcalfe County, KY "
211710,CN2117100000000,"Monroe County, KY "
211730,CN2117300000000,"Montgomery County, KY "
211750,CN2117500000000,"Morgan County, KY "
211770,CN2117700000000,"Muhlenberg County, KY "
211790,CN2117900000000,"Nelson County, KY "
211810,CN2118100000000,"Nicholas County, KY "
211830,CN2118300000000,"Ohio County, KY "
211850,CN2118500000000,"Oldham County, KY "
211870,CN2118700000000,"Owen County, KY "
211890,CN2118900000000,"Owsley County, KY "
211910,CN2119100000000,"Pendleton County, KY "
211930,CN2119300000000,"Perry County, KY "
211950,CN2119500000000,"Pike County, KY "
211970,CN2119700000000,"Powell County, KY "
211990,CN2119900000000,"Pulaski County, KY "
212010,CN2120100000000,"Robertson County, KY "
212030,CN2120300000000,"Rockcastle County, KY "
212050,CN2120500000000,"Rowan County, KY "
212070,CN2120700000000,"Russell County, KY "
212090,CN2120900000000,"Scott County, KY "
212110,CN2121100000000,"Shelby County, KY "
212130,CN2121300000000,"Simpson County, KY "
212150,CN2121500000000,"Spencer County, KY "
212170,CN2121700000000,"Taylor County, KY "
212190,CN2121900000000,"Todd County, KY "
212210,CN2122100000000,"Trigg County, KY "
212230,CN2122300000000,"Trimble County, KY "
212250,CN2122500000000,"Union County, KY "
212270,CN2122700000000,"Warren County, KY "
212290,CN2122900000000,"Washington County, KY "
212310,CN2123100000000,"Wayne County, KY "
212330,CN2123300000000,"Webster County, KY "
212350,CN2123500000000,"Whitley County, KY "
212370,CN2123700000000,"Wolfe County, KY "
212390,CN2123900000000,"Woodford County, KY "
220010,CN2200100000000,"Acadia Parish, LA "
220030,CN2200300000000,"Allen Parish, LA "
220050,CN2200500000000,"Ascension Parish, LA "
220070,CN2200700000000,"Assumption Parish, LA "
220090,CN2200900000000,"Avoyelles Parish, LA "
220110,CN2201100000000,"Beauregard Parish, LA "
220130,CN2201300000000,"Bienville Parish, LA "
220150,CN2201500000000,"Bossier Parish, LA "
220170,CN2201700000000,"Caddo Parish, LA "
220190,CN2201900000000,"Calcasieu Parish, LA "
220210,CN2202100000000,"Caldwell Parish, LA "
220230,CN2202300000000,"Cameron Parish, LA "
220250,CN2202500000000,"Catahoula Parish, LA "
220270,CN2202700000000,"Claiborne Parish, LA "
220290,CN2202900000000,"Concordia Parish, LA "
220310,CN2203100000000,"De Soto Parish, LA "
220330,CN2203300000000,"East Baton Rouge Parish, LA "
220350,CN2203500000000,"East Carroll Parish, LA "
220370,CN2203700000000,"East Feliciana Parish, LA "
220390,CN2203900000000,"Evangeline Parish, LA "
220410,CN2204100000000,"Franklin Parish, LA "
220430,CN2204300000000,"Grant Parish, LA "
220450,CN2204500000000,"Iberia Parish, LA "
220470,CN2204700000000,"Iberville Parish, LA "
220490,CN2204900000000,"Jackson Parish, LA "
220510,CN2205100000000,"Jefferson Parish, LA "
220530,CN2205300000000,"Jefferson Davis Parish, LA "
220550,CN2205500000000,"Lafayette Parish, LA "
220570,CN2205700000000,"Lafourche Parish, LA "
220590,CN2205900000000,"LaSalle Parish, LA "
220610,CN2206100000000,"Lincoln Parish, LA "
220630,CN2206300000000,"Livingston Parish, LA "
220650,CN2206500000000,"Madison Parish, LA "
220670,CN2206700000000,"Morehouse Parish, LA "
220690,CN2206900000000,"Natchitoches Parish, LA "
220710,CN2207100000000,"Orleans Parish, LA "
220730,CN2207300000000,"Ouachita Parish, LA "
220750,CN2207500000000,"Plaquemines Parish, LA "
220770,CN2207700000000,"Pointe Coupee Parish, LA "
220790,CN2207900000000,"Rapides Parish, LA "
220810,CN2208100000000,"Red River Parish, LA "
220830,CN2208300000000,"Richland Parish, LA "
220850,CN2208500000000,"Sabine Parish, LA "
220870,CN2208700000000,"St. Bernard Parish, LA "
220890,CN2208900000000,"St. Charles Parish, LA "
220910,CN2209100000000,"St. Helena Parish, LA "
220930,CN2209300000000,"St. James Parish, LA "
220950,CN2209500000000,"St. John the Baptist Parish, LA "
220970,CN2209700000000,"St. Landry Parish, LA "
220990,CN2209900000000,"St. Martin Parish, LA "
221010,CN2210100000000,"St. Mary Parish, LA "
221030,CN2210300000000,"St. Tammany Parish, LA "
221050,CN2210500000000,"Tangipahoa Parish, LA "
221070,CN2210700000000,"Tensas Parish, LA "
221090,CN2210900000000,"Terrebonne Parish, LA "
221110,CN2211100000000,"Union Parish, LA "
221130,CN2211300000000,"Vermilion Parish, LA "
221150,CN2211500000000,"Vernon Parish, LA "
221170,CN2211700000000,"Washington Parish, LA "
221190,CN2211900000000,"Webster Parish, LA "
221210,CN2212100000000,"West Baton Rouge Parish, LA "
221230,CN2212300000000,"West Carroll Parish, LA "
221250,CN2212500000000,"West Feliciana Parish, LA "
221270,CN2212700000000,"Winn Parish, LA "
230010,CN2300100000000,"Androscoggin County, ME "
230030,CN2300300000000,"Aroostook County, ME "
230050,CN2300500000000,"Cumberland County, ME "
230070,CN2300700000000,"Franklin County, ME "
230090,CN2300900000000,"Hancock County, ME "
230110,CN2301100000000,"Kennebec County, ME "
230130,CN2301300000000,"Knox County, ME "
230150,CN2301500000000,"Lincoln County, ME "
230170,CN2301700000000,"Oxford County, ME "
230190,CN2301900000000,"Penobscot County, ME "
230210,CN2302100000000,"Piscataquis County, ME "
230230,CN2302300000000,"Sagadahoc County, ME "
230250,CN2302500000000,"Somerset County, ME "
230270,CN2302700000000,"Waldo County, ME "
230290,CN2302900000000,"Washington County, ME "
230310,CN2303100000000,"York County, ME "
240010,CN2400100000000,"Allegany County, MD "
240030,CN2400300000000,"Anne Arundel County, MD "
240050,CN2400500000000,"Baltimore County, MD "
240090,CN2400900000000,"Calvert County, MD "
240110,CN2401100000000,"Caroline County, MD "
240130,CN2401300000000,"Carroll County, MD "
240150,CN2401500000000,"Cecil County, MD "
240170,CN2401700000000,"Charles County, MD "
240190,CN2401900000000,"Dorchester County, MD "
240210,CN2402100000000,"Frederick County, MD "
240230,CN2402300000000,"Garrett County, MD "
240250,CN2402500000000,"Harford County, MD "
240270,CN2402700000000,"Howard County, MD "
240290,CN2402900000000,"Kent County, MD "
240310,CN2403100000000,"Montgomery County, MD "
240330,CN2403300000000,"Prince George's County, MD "
240350,CN2403500000000,"Queen Anne's County, MD "
240370,CN2403700000000,"St. Mary's County, MD "
240390,CN2403900000000,"Somerset County, MD "
240410,CN2404100000000,"Talbot County, MD "
240430,CN2404300000000,"Washington County, MD "
240450,CN2404500000000,"Wicomico County, MD "
240470,CN2404700000000,"Worcester County, MD "
245100,CN2451000000000,"Baltimore city, MD "
250010,CN2500100000000,"Barnstable County, MA "
250030,CN2500300000000,"Berkshire County, MA "
250050,CN2500500000000,"Bristol County, MA "
250070,CN2500700000000,"Dukes County, MA "
250090,CN2500900000000,"Essex County, MA "
250110,CN2501100000000,"Franklin County, MA "
250130,CN2501300000000,"Hampden County, MA "
250150,CN2501500000000,"Hampshire County, MA "
250170,CN2501700000000,"Middlesex County, MA "
250190,CN2501900000000,"Nantucket County/town, MA "
250210,CN2502100000000,"Norfolk County, MA "
250230,CN2502300000000,"Plymouth County, MA "
250250,CN2502500000000,"Suffolk County, MA "
250270,CN2502700000000,"Worcester County, MA "
260010,CN2600100000000,"Alcona County, MI "
260030,CN2600300000000,"Alger County, MI "
260050,CN2600500000000,"Allegan County, MI "
260070,CN2600700000000,"Alpena County, MI "
260090,CN2600900000000,"Antrim County, MI "
260110,CN2601100000000,"Arenac County, MI "
260130,CN2601300000000,"Baraga County, MI "
260150,CN2601500000000,"Barry County, MI "
260170,CN2601700000000,"Bay County, MI "
260190,CN2601900000000,"Benzie County, MI "
260210,CN2602100000000,"Berrien County, MI "
260230,CN2602300000000,"Branch County, MI "
260250,CN2602500000000,"Calhoun County, MI "
260270,CN2602700000000,"Cass County, MI "
260290,CN2602900000000,"Charlevoix County, MI "
260310,CN2603100000000,"Cheboygan County, MI "
260330,CN2603300000000,"Chippewa County, MI "
